index,year,variable,annual_mean,long_term_mean,anomaly
3,2015,SLZ,0.05753911881909819,0.9694646718585213,-0.911925553039423
3,2015,q_sim,0,0.007475063563466002,-0.007475063563466002
3,2015,WB,1.972393030038935e-4,0.0020602750282264826,-0.001863035725222589
3,2016,Prain,0.09309531004217324,0.19709780817283837,-0.10400249813066513
3,2016,Psnow,0,0,0
3,2016,SWE,0,0,0
3,2016,Msnow,0,0,0
3,2016,Total,0.09309531004217324,0.19709780817283837,-0.10400249813066513
3,2016,Rech,0.0010904119721898242,0.008570213015159664,-0.007479801042969839
3,2016,Eac,0.09199673165506135,0.1950375331446122,-0.10304080148955085
3,2016,SM,0.44690889812630374,1.2912161453922437,-0.84430724726594
3,2016,Qg,8.563239276512823e-4,0.00821197790092017,-0.007355653973268888
3,2016,Q0,0,0,0
3,2016,Q1,0,0.0010579955352461473,-0.0010579955352461473
3,2016,Q2,8.563239276512823e-4,0.007153982365674009,-0.006297658438022727
3,2016,STZ,0.0010904119721898242,0.008570213015159664,-0.007479801042969839
3,2016,SUZ,0.0010904119721898242,0.015248727295601283,-0.014158315323411459
3,2016,SLZ,0.11604386942696077,0.9694646718585213,-0.8534208024315605
3,2016,q_sim,0,0.007475063563466002,-0.007475063563466002
3,2016,WB,0.0010985783871118539,0.0020602750282264826,-9.616966411146288e-4
3,2017,Prain,0.23731564348709017,0.19709780817283837,0.0402178353142518
3,2017,Psnow,0,0,0
3,2017,SWE,0,0,0
3,2017,Msnow,0,0,0
3,2017,Total,0.23731564348709017,0.19709780817283837,0.0402178353142518
3,2017,Rech,0.007115252124799125,0.008570213015159664,-0.0014549608903605387
3,2017,Eac,0.22714655290462565,0.1950375331446122,0.03210901976001346
3,2017,SM,1.6974731879517375,1.2912161453922437,0.4062570425594938
3,2017,Qg,0.006666189174534053,0.00821197790092017,-0.0015457887263861173
3,2017,Q0,0,0,0
3,2017,Q1,5.337966284439849e-4,0.0010579955352461473,-5.241989068021624e-4
3,2017,Q2,0.006132392546090068,0.007153982365674009,-0.0010215898195839413
3,2017,STZ,0.007115252124799125,0.008570213015159664,-0.0014549608903605387
3,2017,SUZ,0.0113934811658758,0.015248727295601283,-0.0038552461297254835
3,2017,SLZ,0.831024962533964,0.9694646718585213,-0.1384397093245573
3,2017,q_sim,0.005315068493150698,0.007475063563466002,-0.0021599950703153036
3,2017,WB,0.010169090582464633,0.0020602750282264826,0.00810881555423815
3,2018,Prain,0.044435591379180676,0.19709780817283837,-0.15266221679365768
3,2018,Psnow,0,0,0
3,2018,SWE,0,0,0
3,2018,Msnow,0,0,0
3,2018,Total,0.044435591379180676,0.19709780817283837,-0.15266221679365768
3,2018,Rech,1.5877388078344308e-4,0.008570213015159664,-0.00841143913437622
3,2018,Eac,0.04733243778218102,0.1950375331446122,-0.14770509536243118
3,2018,SM,0.2575556451590023,1.2912161453922437,-1.0336605002332413
3,2018,Qg,8.1873455749393e-4,0.00821197790092017,-0.0073932433434262404
3,2018,Q0,0,0,0
3,2018,Q1,0,0.0010579955352461473,-0.0010579955352461473
3,2018,Q2,8.1873455749393e-4,0.007153982365674009,-0.006335247808180079
3,2018,STZ,1.5877388078344308e-4,0.008570213015159664,-0.00841143913437622
3,2018,SUZ,1.5877388078344308e-4,0.015248727295601283,-0.01508995341481784
3,2018,SLZ,0.1109499840156941,0.9694646718585213,-0.8585146878428271
3,2018,q_sim,0,0.007475063563466002,-0.007475063563466002
3,2018,WB,-0.002896846403000306,0.0020602750282264826,-0.004957121431226789
3,2019,Prain,0.4356628305960492,0.19709780817283837,0.23856502242321084
3,2019,Psnow,0,0,0
3,2019,SWE,0,0,0
3,2019,Msnow,0,0,0
3,2019,Total,0.4356628305960492,0.19709780817283837,0.23856502242321084
3,2019,Rech,0.02030663522512248,0.008570213015159664,0.011736422209962816
3,2019,Eac,0.4142212034424956,0.1950375331446122,0.21918367029788338
