catchment_id,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
145,346.009,278.434,27.623,23.537,4.164,0.009,0.000,0.009,23.341,403.662,-57.653,225.532,167.879,0.604,0.390,0.220,0.238,0.199,0.000,0.000,0.000,0.199,0.010,0.198,0.577,0.010,0.001,0.005,0.004,0.010,0.022,0.416,0.009,0.002,0.223,81.410,5.912,2085.000
146,352.703,273.768,28.035,24.126,3.693,0.011,0.000,0.011,24.056,407.588,-54.884,221.752,166.868,0.601,0.374,0.225,0.238,0.164,0.000,0.000,0.000,0.164,0.007,0.161,0.436,0.007,0.001,0.004,0.003,0.007,0.017,0.309,0.006,0.002,0.260,94.740,33.600,2085.000
147,336.775,276.677,27.003,21.445,3.225,0.012,0.000,0.012,22.823,400.937,-64.162,224.109,159.947,0.576,0.350,0.214,0.225,0.215,0.000,0.000,0.000,0.215,0.019,0.202,0.615,0.019,0.007,0.008,0.005,0.016,0.036,0.446,0.018,0.013,0.287,104.822,24.245,2085.000
148,335.309,277.860,26.857,21.478,3.272,0.012,0.000,0.012,22.644,399.963,-64.655,225.067,160.412,0.577,0.350,0.212,0.226,0.196,0.000,0.000,0.000,0.196,0.017,0.185,0.600,0.017,0.005,0.007,0.004,0.014,0.033,0.390,0.016,0.011,0.283,103.241,29.956,2085.000
149,370.806,275.654,28.286,35.993,4.219,0.008,0.000,0.008,24.758,411.181,-40.375,223.279,182.904,0.658,0.374,0.226,0.262,0.125,0.000,0.000,0.000,0.125,0.014,0.111,0.313,0.015,0.008,0.004,0.003,0.016,0.020,0.326,0.014,0.013,0.192,70.200,24.326,2085.000
150,324.866,274.905,25.437,23.369,3.299,0.024,0.000,0.024,20.795,390.261,-65.395,222.673,157.278,0.566,0.336,0.200,0.217,0.752,0.000,0.000,0.000,0.752,0.087,0.716,2.542,0.095,0.029,0.041,0.025,0.067,0.176,2.496,0.095,0.036,0.573,209.091,-87.096,2085.000
151,315.478,276.703,23.826,25.104,3.137,0.028,0.000,0.028,19.179,381.829,-66.352,224.130,157.778,0.568,0.314,0.184,0.213,0.964,0.004,0.012,0.004,0.968,0.155,0.902,4.042,0.168,0.057,0.074,0.037,0.127,0.313,3.701,0.169,0.061,0.677,246.970,-144.174,2085.000
152,323.029,273.735,24.935,24.068,3.212,0.025,0.000,0.025,20.379,388.084,-65.055,221.726,156.671,0.564,0.327,0.195,0.215,0.710,0.000,0.000,0.000,0.710,0.080,0.681,2.458,0.087,0.027,0.037,0.024,0.061,0.159,2.360,0.088,0.029,0.607,221.487,-59.079,2085.000
153,305.650,275.226,21.707,27.768,3.128,0.032,0.000,0.032,17.240,371.873,-66.223,222.933,156.710,0.564,0.289,0.166,0.205,0.820,0.001,0.001,0.001,0.821,0.106,0.777,2.962,0.115,0.037,0.049,0.029,0.082,0.212,2.832,0.115,0.043,0.771,281.285,-44.162,2085.000
154,319.790,274.254,24.431,25.027,3.124,0.028,0.000,0.028,19.889,385.514,-65.724,222.146,156.422,0.563,0.317,0.190,0.213,0.710,0.000,0.000,0.000,0.710,0.080,0.681,2.458,0.087,0.027,0.037,0.024,0.061,0.159,2.360,0.088,0.029,0.681,248.441,-32.125,2085.000
155,290.518,272.643,18.298,34.485,3.222,0.039,0.000,0.039,14.225,356.438,-65.920,220.841,154.921,0.558,0.251,0.137,0.192,0.820,0.001,0.001,0.001,0.821,0.106,0.777,2.962,0.115,0.037,0.049,0.029,0.082,0.212,2.832,0.115,0.043,0.932,340.277,14.830,2085.000
156,286.587,273.930,18.221,31.932,3.475,0.036,0.000,0.036,13.739,353.969,-67.382,221.883,154.501,0.556,0.260,0.136,0.191,0.820,0.001,0.001,0.001,0.821,0.106,0.777,2.962,0.115,0.037,0.049,0.029,0.082,0.212,2.832,0.115,0.043,0.857,312.840,-12.607,2085.000
157,285.157,274.131,17.904,31.719,3.545,0.036,0.000,0.036,13.392,352.251,-67.094,222.046,154.953,0.558,0.259,0.133,0.191,0.820,0.001,0.001,0.001,0.821,0.106,0.777,2.962,0.115,0.037,0.049,0.029,0.082,0.212,2.832,0.115,0.043,0.853,311.187,-14.260,2085.000
158,282.606,274.473,17.607,32.005,3.724,0.036,0.000,0.036,12.997,350.278,-67.672,222.324,154.652,0.557,0.261,0.131,0.189,0.727,0.000,0.000,0.000,0.727,0.071,0.690,2.548,0.072,0.021,0.033,0.018,0.063,0.145,1.790,0.072,0.037,0.860,314.027,36.126,2085.000
159,285.328,273.216,17.712,33.684,3.577,0.038,0.000,0.038,13.380,352.188,-66.860,221.305,154.445,0.556,0.255,0.132,0.190,0.871,0.004,0.010,0.004,0.875,0.127,0.832,3.691,0.138,0.043,0.062,0.033,0.103,0.262,3.292,0.138,0.039,0.902,329.336,-24.759,2085.000
160,355.343,279.704,29.410,17.211,4.867,0.007,0.000,0.007,25.084,413.888,-58.545,226.560,168.015,0.605,0.453,0.243,0.243,0.107,0.000,0.000,0.000,0.107,0.004,0.108,0.292,0.004,0.000,0.002,0.002,0.004,0.008,0.188,0.003,-0.001,0.177,64.452,23.858,2085.000
161,351.782,280.200,28.745,17.734,4.368,0.009,0.000,0.009,24.409,410.166,-58.384,226.962,168.578,0.607,0.428,0.236,0.242,0.208,0.000,0.000,0.000,0.208,0.013,0.214,0.638,0.015,0.002,0.007,0.006,0.012,0.033,0.582,0.015,-0.006,0.207,75.533,-7.947,2085.000
162,356.196,281.567,29.166,19.428,4.354,0.008,0.000,0.008,24.998,413.226,-57.030,228.069,171.039,0.616,0.428,0.240,0.247,0.172,0.000,0.000,0.000,0.172,0.009,0.166,0.489,0.009,0.001,0.004,0.003,0.009,0.020,0.346,0.008,0.005,0.185,67.571,3.835,2085.000
163,360.241,280.722,29.676,18.170,4.429,0.008,0.000,0.008,25.443,415.753,-55.512,227.385,171.873,0.619,0.442,0.246,0.250,0.143,0.000,0.000,0.000,0.143,0.006,0.141,0.402,0.006,0.001,0.003,0.003,0.006,0.013,0.248,0.005,0.002,0.184,67.089,13.765,2085.000
164,354.016,277.174,29.059,17.502,4.449,0.008,0.000,0.008,24.823,412.457,-58.441,224.511,166.070,0.598,0.432,0.239,0.240,0.227,0.000,0.000,0.000,0.227,0.013,0.224,0.650,0.014,0.003,0.006,0.005,0.012,0.026,0.455,0.013,0.003,0.190,69.263,-17.440,2085.000
165,346.024,277.778,28.057,19.183,4.005,0.009,0.000,0.009,23.742,406.302,-60.278,225.000,164.722,0.593,0.401,0.227,0.235,0.226,0.000,0.000,0.000,0.226,0.013,0.224,0.666,0.014,0.003,0.006,0.005,0.012,0.026,0.459,0.013,0.002,0.217,79.265,-7.244,2085.000
166,343.412,280.053,27.841,18.399,3.803,0.010,0.000,0.010,23.469,404.866,-61.455,226.843,165.389,0.595,0.391,0.225,0.235,0.192,0.000,0.000,0.000,0.192,0.011,0.201,0.621,0.013,0.001,0.006,0.006,0.010,0.026,0.560,0.012,-0.009,0.242,88.272,10.446,2085.000
167,365.369,281.718,30.210,17.119,4.234,0.008,0.000,0.008,26.391,421.245,-55.876,228.191,172.315,0.620,0.441,0.252,0.252,0.172,0.000,0.000,0.000,0.172,0.009,0.166,0.489,0.009,0.001,0.004,0.003,0.009,0.020,0.346,0.008,0.005,0.189,68.811,5.075,2085.000
168,337.353,274.059,26.624,19.499,3.989,0.009,0.000,0.009,22.194,397.935,-60.582,221.988,161.406,0.581,0.380,0.212,0.226,0.223,0.000,0.000,0.000,0.223,0.011,0.226,0.674,0.011,0.001,0.006,0.005,0.011,0.026,0.468,0.011,-0.002,0.226,82.366,-3.962,2085.000
169,350.501,278.750,28.629,18.277,4.913,0.007,0.000,0.007,23.925,407.223,-56.722,225.788,169.066,0.609,0.445,0.234,0.243,0.118,0.000,0.000,0.000,0.118,0.003,0.124,0.305,0.003,0.000,0.001,0.003,0.003,0.005,0.250,0.003,-0.006,0.172,62.814,16.551,2085.000
170,370.117,282.573,30.788,16.841,4.282,0.007,0.000,0.007,27.048,424.889,-54.772,228.884,174.112,0.627,0.450,0.259,0.256,0.172,0.000,0.000,0.000,0.172,0.009,0.166,0.489,0.009,0.001,0.004,0.003,0.009,0.020,0.346,0.008,0.005,0.180,65.570,1.834,2085.000
171,349.280,279.862,28.271,18.939,3.232,0.010,0.000,0.010,24.416,410.154,-60.874,226.688,165.814,0.597,0.369,0.230,0.237,0.174,0.000,0.000,0.000,0.174,0.009,0.175,0.509,0.009,0.001,0.004,0.004,0.008,0.021,0.398,0.008,-0.001,0.248,90.509,23.679,2085.000
172,353.627,282.814,28.712,19.158,3.446,0.009,0.000,0.009,24.965,413.179,-59.552,229.079,169.527,0.610,0.386,0.235,0.244,0.172,0.000,0.000,0.000,0.172,0.009,0.166,0.489,0.009,0.001,0.004,0.003,0.009,0.020,0.346,0.008,0.005,0.214,78.170,14.433,2085.000
173,357.868,282.115,29.232,18.995,3.753,0.008,0.000,0.008,25.382,415.434,-57.566,228.513,170.947,0.615,0.404,0.240,0.247,0.172,0.000,0.000,0.000,0.172,0.009,0.166,0.489,0.009,0.001,0.004,0.003,0.009,0.020,0.346,0.008,0.005,0.201,73.360,9.624,2085.000
174,321.427,277.906,24.218,21.176,3.078,0.013,0.000,0.013,20.114,386.586,-65.159,225.104,159.945,0.576,0.319,0.186,0.217,0.223,0.000,0.000,0.000,0.223,0.011,0.226,0.674,0.011,0.001,0.006,0.005,0.011,0.026,0.468,0.011,-0.002,0.311,113.679,27.351,2085.000
175,324.952,275.954,24.440,21.271,3.851,0.012,0.000,0.012,20.003,386.068,-61.116,223.523,162.406,0.585,0.352,0.190,0.221,0.287,0.000,0.000,0.000,0.287,0.013,0.287,0.833,0.015,0.000,0.007,0.007,0.014,0.034,0.685,0.014,0.000,0.281,102.594,-7.312,2085.000
176,341.217,281.890,27.538,22.864,4.358,0.008,0.000,0.008,23.061,402.137,-60.919,228.331,167.412,0.603,0.399,0.219,0.237,0.137,0.000,0.000,0.000,0.137,0.010,0.132,0.409,0.009,0.002,0.005,0.003,0.010,0.022,0.269,0.009,0.006,0.193,70.350,18.972,2085.000
177,336.229,279.539,26.990,22.123,3.889,0.010,0.000,0.010,22.554,399.447,-63.218,226.427,163.209,0.588,0.375,0.214,0.230,0.226,0.000,0.000,0.000,0.226,0.013,0.224,0.666,0.014,0.003,0.006,0.005,0.012,0.026,0.459,0.013,0.002,0.229,83.509,-3.000,2085.000
178,339.830,283.932,27.399,22.959,4.693,0.008,0.000,0.008,22.785,400.606,-60.776,229.985,169.209,0.609,0.411,0.218,0.240,0.137,0.000,0.000,0.000,0.137,0.010,0.132,0.409,0.009,0.002,0.005,0.003,0.010,0.022,0.269,0.009,0.006,0.185,67.447,16.069,2085.000
179,342.515,281.844,27.703,22.912,4.359,0.008,0.000,0.008,23.264,403.239,-60.724,228.294,167.570,0.603,0.400,0.221,0.238,0.196,0.000,0.000,0.000,0.196,0.017,0.182,0.584,0.016,0.005,0.008,0.004,0.018,0.035,0.350,0.016,0.014,0.189,69.007,-3.182,2085.000
180,335.196,284.376,26.566,20.350,3.057,0.011,0.000,0.011,22.564,400.008,-64.812,230.345,165.533,0.596,0.345,0.211,0.232,0.174,0.000,0.000,0.000,0.174,0.009,0.175,0.509,0.009,0.001,0.004,0.004,0.008,0.021,0.398,0.008,-0.001,0.258,94.272,27.442,2085.000
181,322.976,284.354,25.155,20.519,2.975,0.013,0.000,0.013,20.884,391.113,-68.136,230.327,162.191,0.584,0.328,0.198,0.223,0.210,0.000,0.000,0.000,0.210,0.012,0.215,0.639,0.014,0.001,0.007,0.006,0.011,0.030,0.582,0.013,-0.005,0.319,116.495,33.499,2085.000
182,340.547,282.483,27.375,22.990,4.417,0.008,0.000,0.008,22.897,401.240,-60.692,228.811,168.119,0.605,0.400,0.218,0.238,0.182,0.000,0.000,0.000,0.182,0.016,0.169,0.558,0.016,0.005,0.008,0.003,0.017,0.033,0.325,0.015,0.013,0.190,69.472,2.240,2085.000
183,342.496,283.954,27.667,23.311,4.785,0.008,0.000,0.008,23.098,402.289,-59.793,230.003,170.210,0.613,0.416,0.221,0.242,0.143,0.000,0.000,0.000,0.143,0.009,0.134,0.425,0.009,0.003,0.004,0.002,0.010,0.016,0.221,0.009,0.009,0.181,66.104,13.978,2085.000
184,341.246,283.813,27.453,23.298,4.808,0.007,0.000,0.007,22.880,401.106,-59.860,229.889,170.029,0.612,0.415,0.218,0.241,0.153,0.000,0.000,0.000,0.153,0.011,0.143,0.461,0.011,0.004,0.004,0.003,0.011,0.019,0.256,0.010,0.010,0.179,65.481,9.553,2085.000
185,330.995,284.662,26.050,22.403,3.943,0.009,0.000,0.009,21.621,394.397,-63.403,230.576,167.174,0.602,0.372,0.203,0.233,0.167,0.000,0.000,0.000,0.167,0.014,0.155,0.540,0.014,0.004,0.007,0.003,0.016,0.030,0.292,0.014,0.011,0.212,77.404,15.869,2085.000
186,326.522,277.685,25.781,21.057,3.165,0.011,0.000,0.011,21.514,393.952,-67.429,224.925,157.496,0.567,0.335,0.201,0.218,0.226,0.000,0.000,0.000,0.226,0.013,0.224,0.666,0.014,0.003,0.006,0.005,0.012,0.026,0.459,0.013,0.002,0.273,99.729,13.221,2085.000
187,328.383,277.687,26.124,21.156,3.196,0.011,0.000,0.011,21.863,395.786,-67.403,224.927,157.523,0.567,0.339,0.204,0.219,0.226,0.000,0.000,0.000,0.226,0.013,0.224,0.666,0.014,0.003,0.006,0.005,0.012,0.026,0.459,0.013,0.002,0.271,98.895,12.386,2085.000
188,322.245,284.467,24.773,22.053,3.362,0.010,0.000,0.010,20.447,388.211,-65.966,230.418,164.452,0.592,0.339,0.190,0.225,0.145,0.000,0.000,0.000,0.145,0.005,0.140,0.425,0.005,0.000,0.002,0.003,0.005,0.012,0.269,0.004,0.004,0.250,91.295,38.496,2085.000
189,324.188,285.101,25.074,21.993,3.304,0.010,0.000,0.010,20.832,390.242,-66.054,230.932,164.878,0.594,0.340,0.193,0.227,0.145,0.000,0.000,0.000,0.145,0.005,0.140,0.425,0.005,0.000,0.002,0.003,0.005,0.012,0.269,0.004,0.004,0.245,89.359,36.560,2085.000
190,340.991,278.466,27.611,18.756,3.244,0.011,0.000,0.011,23.559,405.281,-64.289,225.558,161.268,0.581,0.361,0.222,0.229,0.192,0.000,0.000,0.000,0.192,0.011,0.201,0.621,0.013,0.001,0.006,0.006,0.010,0.026,0.560,0.012,-0.009,0.267,97.356,19.530,2085.000
191,337.458,282.763,27.643,19.060,3.197,0.012,0.000,0.012,23.521,405.010,-67.552,229.038,161.486,0.581,0.360,0.223,0.229,0.210,0.000,0.000,0.000,0.210,0.012,0.215,0.639,0.014,0.001,0.007,0.006,0.011,0.030,0.582,0.013,-0.005,0.288,105.004,22.007,2085.000
192,334.036,280.110,27.066,19.607,3.339,0.014,0.000,0.014,22.744,400.755,-66.719,226.889,160.169,0.577,0.360,0.216,0.226,0.218,0.000,0.000,0.000,0.218,0.014,0.226,0.684,0.016,0.002,0.007,0.007,0.012,0.032,0.666,0.015,-0.008,0.325,118.581,30.528,2085.000
193,324.301,278.243,25.491,22.415,3.326,0.021,0.000,0.021,20.898,390.840,-66.539,225.377,158.838,0.572,0.341,0.200,0.219,0.218,0.000,0.000,0.000,0.218,0.014,0.226,0.684,0.016,0.002,0.007,0.007,0.012,0.032,0.666,0.015,-0.008,0.505,184.208,96.155,2085.000
194,316.663,281.267,24.307,22.486,3.087,0.019,0.000,0.019,19.819,385.201,-68.539,227.826,159.288,0.573,0.322,0.189,0.216,0.210,0.000,0.000,0.000,0.210,0.012,0.215,0.639,0.014,0.001,0.007,0.006,0.011,0.030,0.582,0.013,-0.005,0.449,163.798,80.801,2085.000
195,306.127,282.583,22.634,24.288,2.667,0.022,0.000,0.022,18.229,376.750,-70.624,228.892,158.269,0.570,0.288,0.172,0.210,0.485,0.000,0.000,0.000,0.485,0.051,0.475,1.648,0.058,0.014,0.026,0.018,0.043,0.112,1.744,0.058,0.010,0.517,188.596,-5.846,2085.000
196,299.739,277.021,20.804,27.689,2.957,0.029,0.000,0.029,16.437,367.684,-67.945,224.387,156.441,0.563,0.275,0.157,0.202,0.820,0.001,0.001,0.001,0.821,0.106,0.777,2.962,0.115,0.037,0.049,0.029,0.082,0.212,2.832,0.115,0.043,0.691,252.365,-73.083,2085.000
197,300.895,285.250,22.010,23.271,2.764,0.019,0.000,0.019,17.403,372.459,-71.564,231.052,159.489,0.574,0.289,0.166,0.210,0.485,0.000,0.000,0.000,0.485,0.051,0.475,1.648,0.058,0.014,0.026,0.018,0.043,0.112,1.744,0.058,0.010,0.449,163.731,-30.711,2085.000
