catchment_id,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
181,261.608,181.466,10.822,38.989,3.080,0.033,0.001,0.033,3.724,307.094,-45.485,146.988,101.502,0.365,0.151,0.090,0.107,0.507,0.005,0.018,0.005,0.512,0.025,0.479,2.916,0.015,0.001,0.009,0.005,0.025,0.047,0.485,0.014,0.028,0.801,292.516,112.228,2001.507
182,277.635,190.062,13.947,38.577,5.344,0.018,0.000,0.018,7.099,322.093,-44.458,153.950,109.492,0.394,0.204,0.106,0.124,0.391,0.000,0.000,0.000,0.391,0.022,0.364,2.085,0.016,0.002,0.011,0.004,0.022,0.050,0.392,0.016,0.027,0.429,156.619,18.076,2001.507
183,279.294,192.423,14.194,39.010,5.960,0.018,0.000,0.018,7.579,324.288,-44.994,155.862,110.868,0.399,0.213,0.107,0.127,0.285,0.000,0.000,0.000,0.285,0.011,0.283,1.526,0.008,0.003,0.003,0.003,0.011,0.018,0.253,0.008,0.002,0.422,154.210,48.269,2001.507
184,278.395,190.480,14.118,38.750,5.907,0.017,0.000,0.017,7.429,323.594,-45.200,154.289,109.089,0.393,0.211,0.107,0.125,0.321,0.000,0.000,0.000,0.321,0.013,0.315,1.699,0.010,0.003,0.004,0.003,0.014,0.022,0.289,0.009,0.006,0.420,153.226,34.914,2001.507
185,270.130,192.018,12.765,38.148,4.528,0.019,0.000,0.019,5.712,315.768,-45.637,155.535,109.897,0.396,0.187,0.099,0.122,0.384,0.000,0.000,0.000,0.384,0.023,0.362,2.325,0.017,0.002,0.011,0.004,0.023,0.052,0.398,0.017,0.022,0.455,166.084,28.085,2001.507
186,266.832,187.770,12.287,38.897,3.500,0.026,0.000,0.026,4.988,312.469,-45.638,152.093,106.456,0.383,0.167,0.096,0.116,0.610,0.002,0.005,0.002,0.612,0.054,0.551,3.475,0.041,0.010,0.024,0.007,0.050,0.111,0.656,0.040,0.059,0.622,226.976,11.379,2001.507
187,268.256,188.241,12.669,38.633,3.539,0.025,0.000,0.025,5.307,313.889,-45.633,152.475,106.842,0.385,0.170,0.098,0.118,0.610,0.002,0.005,0.002,0.612,0.054,0.551,3.475,0.041,0.010,0.024,0.007,0.050,0.111,0.656,0.040,0.059,0.607,221.708,6.110,2001.507
188,262.537,189.302,11.453,38.421,3.727,0.023,0.000,0.023,4.202,308.982,-46.445,153.335,106.890,0.385,0.167,0.092,0.115,0.277,0.000,0.001,0.000,0.277,0.011,0.274,1.442,0.009,0.002,0.004,0.003,0.012,0.021,0.286,0.009,0.003,0.547,199.656,96.552,2001.507
189,264.153,191.889,11.804,37.990,3.647,0.022,0.000,0.022,4.554,310.550,-46.397,155.430,109.033,0.393,0.170,0.094,0.118,0.277,0.000,0.001,0.000,0.277,0.011,0.274,1.442,0.009,0.002,0.004,0.003,0.012,0.021,0.286,0.009,0.003,0.526,191.969,88.866,2001.507
190,272.326,177.567,12.416,37.743,3.588,0.027,0.000,0.026,5.544,315.027,-42.701,143.829,101.128,0.364,0.170,0.098,0.111,0.424,0.005,0.023,0.005,0.429,0.018,0.403,2.474,0.010,0.001,0.005,0.004,0.018,0.031,0.395,0.010,0.021,0.640,233.437,82.681,2001.507
191,271.500,177.829,12.230,39.204,3.520,0.031,0.000,0.031,5.487,314.778,-43.278,144.041,100.763,0.363,0.166,0.097,0.110,0.507,0.005,0.018,0.005,0.512,0.025,0.479,2.916,0.015,0.001,0.009,0.005,0.025,0.047,0.485,0.014,0.028,0.745,271.948,91.659,2001.507
192,269.421,174.824,11.621,40.398,3.531,0.034,0.000,0.034,4.928,312.266,-42.845,141.607,98.763,0.356,0.160,0.093,0.107,0.596,0.003,0.012,0.003,0.599,0.039,0.548,3.438,0.027,0.006,0.015,0.006,0.038,0.075,0.611,0.027,0.048,0.815,297.601,87.820,2001.507
