catchment_id,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
46,358.132,284.313,26.358,51.032,3.029,0.058,0.000,0.058,19.614,383.383,-25.251,230.293,205.043,0.738,0.311,0.204,0.286,2.306,0.000,0.000,0.000,2.306,0.186,2.095,5.017,0.170,0.039,0.082,0.049,0.175,0.356,4.845,0.170,0.212,1.388,506.612,-320.068,2001.500
47,379.496,274.428,28.001,53.896,2.687,0.078,0.000,0.078,21.855,395.257,-15.762,222.287,206.525,0.743,0.308,0.222,0.294,3.113,0.000,0.000,0.000,3.113,0.517,2.544,6.877,0.473,0.226,0.206,0.041,0.467,0.853,4.019,0.473,0.568,1.861,679.371,-421.766,2001.500
48,382.483,273.828,28.431,53.170,2.675,0.077,0.000,0.077,22.227,397.274,-14.791,221.801,207.010,0.745,0.313,0.227,0.297,2.861,0.000,0.000,0.000,2.861,0.423,2.398,6.168,0.382,0.161,0.185,0.036,0.364,0.771,3.539,0.381,0.463,1.855,677.138,-337.302,2001.500
49,393.577,258.086,28.368,66.320,3.906,0.098,0.000,0.098,18.779,412.332,-18.754,209.050,190.296,0.685,0.286,0.227,0.273,2.332,0.000,0.000,0.000,2.332,0.324,1.969,5.234,0.281,0.115,0.140,0.026,0.278,0.593,2.530,0.281,0.363,2.341,854.361,33.403,2001.500
50,374.468,274.437,27.599,52.889,2.692,0.079,0.000,0.079,21.345,392.941,-18.473,222.294,203.821,0.734,0.305,0.218,0.289,1.972,0.000,0.000,0.000,1.972,0.351,1.582,5.140,0.315,0.176,0.120,0.020,0.271,0.504,1.942,0.315,0.390,1.885,687.977,-4.432,2001.500
51,399.839,253.668,28.761,65.921,3.268,0.134,0.000,0.134,23.922,415.166,-15.327,205.471,190.144,0.685,0.278,0.232,0.274,3.413,0.000,0.000,0.000,3.413,0.567,2.789,7.173,0.513,0.249,0.228,0.036,0.498,0.946,3.604,0.513,0.624,3.207,1170.623,-34.600,2001.500
52,393.273,254.170,28.630,64.666,3.106,0.121,0.000,0.121,23.393,411.050,-17.778,205.877,188.100,0.677,0.276,0.230,0.270,3.366,0.000,0.000,0.000,3.366,0.716,2.566,8.596,0.663,0.367,0.256,0.040,0.602,1.054,3.969,0.662,0.800,2.907,1060.884,-117.264,2001.500
53,394.495,254.030,28.306,67.106,3.396,0.124,0.000,0.124,23.052,412.416,-17.921,205.764,187.843,0.676,0.273,0.226,0.269,3.235,0.000,0.000,0.000,3.235,0.491,2.692,6.555,0.442,0.204,0.204,0.034,0.432,0.852,3.392,0.441,0.543,2.983,1088.622,-55.180,2001.500
54,370.690,271.963,27.091,53.131,2.690,0.090,0.000,0.090,20.837,391.137,-20.447,220.290,199.843,0.719,0.298,0.213,0.282,3.669,0.000,0.000,0.000,3.669,0.433,3.194,7.551,0.397,0.119,0.204,0.073,0.400,0.850,7.229,0.397,0.475,2.165,790.128,-520.639,2001.500
55,396.196,252.331,28.612,66.368,3.167,0.133,0.000,0.133,23.781,414.048,-17.852,204.388,186.536,0.672,0.271,0.230,0.268,3.235,0.000,0.000,0.000,3.235,0.491,2.692,6.555,0.442,0.204,0.204,0.034,0.432,0.852,3.392,0.441,0.543,3.185,1162.467,18.664,2001.500
