catchment_id,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
191,313.355,235.280,25.022,21.527,2.628,0.008,0.000,0.008,20.707,389.888,-76.533,190.577,114.043,0.411,0.275,0.196,0.158,0.120,0.000,0.000,0.000,0.120,0.004,0.101,0.570,0.004,0.000,0.002,0.002,0.004,0.009,0.219,0.003,0.019,0.199,72.617,34.675,2030.000
192,310.511,233.470,24.387,21.864,2.758,0.008,0.000,0.008,19.941,385.828,-75.316,189.110,113.794,0.410,0.275,0.190,0.156,0.126,0.000,0.000,0.000,0.126,0.005,0.102,0.590,0.004,0.000,0.002,0.003,0.005,0.009,0.249,0.003,0.025,0.203,74.192,35.876,2030.000
193,302.807,232.407,22.886,23.172,2.598,0.010,0.000,0.010,18.470,378.213,-75.406,188.250,112.844,0.406,0.256,0.176,0.152,0.126,0.000,0.000,0.000,0.126,0.005,0.102,0.590,0.004,0.000,0.002,0.003,0.005,0.009,0.249,0.003,0.025,0.235,85.744,47.427,2030.000
194,296.916,232.643,21.864,25.297,2.502,0.011,0.000,0.011,17.260,372.018,-75.102,188.441,113.339,0.408,0.243,0.167,0.150,0.120,0.000,0.000,0.000,0.120,0.004,0.101,0.570,0.004,0.000,0.002,0.002,0.004,0.009,0.219,0.003,0.019,0.276,100.672,62.730,2030.000
195,288.437,233.269,20.427,27.078,2.146,0.013,0.000,0.013,15.799,364.468,-76.031,188.948,112.917,0.407,0.216,0.153,0.146,0.194,0.000,0.000,0.000,0.194,0.015,0.153,1.030,0.016,0.003,0.007,0.007,0.014,0.030,0.672,0.015,0.040,0.318,116.001,54.435,2030.000
196,281.197,229.877,18.660,28.457,2.415,0.014,0.000,0.014,14.003,355.618,-74.422,186.201,111.779,0.402,0.210,0.140,0.141,0.261,0.000,0.000,0.000,0.261,0.019,0.204,1.395,0.021,0.000,0.010,0.011,0.019,0.046,1.095,0.022,0.058,0.333,121.593,39.389,2030.000
197,284.550,233.116,19.801,27.879,2.273,0.014,0.000,0.014,14.913,359.981,-75.431,188.824,113.393,0.408,0.216,0.148,0.145,0.194,0.000,0.000,0.000,0.194,0.015,0.153,1.030,0.016,0.003,0.007,0.007,0.014,0.030,0.672,0.015,0.040,0.342,124.845,63.279,2030.000
198,281.685,232.021,18.862,29.143,2.349,0.015,0.000,0.015,14.000,355.438,-73.753,187.937,114.184,0.411,0.212,0.141,0.144,0.152,0.000,0.000,0.000,0.152,0.008,0.123,0.764,0.007,0.000,0.003,0.004,0.008,0.016,0.367,0.006,0.029,0.365,133.095,86.027,2030.000
199,330.953,228.540,26.100,22.532,4.835,0.007,0.000,0.007,21.246,392.670,-61.716,185.117,123.401,0.444,0.374,0.208,0.173,0.108,0.000,0.000,0.000,0.108,0.002,0.090,0.454,0.002,0.000,0.001,0.001,0.002,0.004,0.127,0.001,0.018,0.157,57.126,23.645,2030.000
200,329.696,228.680,26.155,23.077,4.407,0.006,0.000,0.006,21.282,392.866,-63.170,185.231,122.061,0.439,0.357,0.208,0.171,0.108,0.000,0.000,0.000,0.108,0.002,0.090,0.454,0.002,0.000,0.001,0.001,0.002,0.004,0.127,0.001,0.018,0.155,56.672,23.191,2030.000
201,322.816,229.779,25.322,22.003,4.372,0.007,0.000,0.007,20.236,387.316,-64.500,186.121,121.622,0.438,0.353,0.199,0.169,0.118,0.000,0.000,0.000,0.118,0.003,0.095,0.499,0.003,0.000,0.001,0.002,0.003,0.005,0.181,0.001,0.023,0.164,59.859,24.615,2030.000
202,322.898,229.991,25.353,22.613,4.450,0.007,0.000,0.007,20.214,387.151,-64.253,186.293,122.040,0.439,0.354,0.199,0.170,0.107,0.000,0.000,0.000,0.107,0.002,0.085,0.467,0.002,0.000,0.001,0.002,0.002,0.003,0.154,0.001,0.022,0.162,58.977,27.501,2030.000
203,330.176,228.624,26.088,22.731,4.675,0.007,0.000,0.007,21.215,392.508,-62.332,185.185,122.853,0.442,0.367,0.207,0.172,0.100,0.000,0.000,0.000,0.100,0.001,0.087,0.434,0.002,0.000,0.000,0.002,0.001,0.002,0.172,0.001,0.013,0.156,57.100,25.027,2030.000
204,323.629,229.885,25.493,22.750,4.422,0.007,0.000,0.007,20.370,387.977,-64.348,186.207,121.858,0.439,0.353,0.201,0.170,0.108,0.000,0.000,0.000,0.108,0.002,0.090,0.454,0.002,0.000,0.001,0.001,0.002,0.004,0.127,0.001,0.018,0.159,58.165,24.684,2030.000
205,317.863,228.600,24.646,22.532,4.189,0.007,0.000,0.007,19.493,383.370,-65.507,185.166,119.658,0.431,0.337,0.192,0.165,0.162,0.000,0.000,0.000,0.162,0.008,0.131,0.900,0.007,0.001,0.003,0.003,0.008,0.016,0.335,0.006,0.031,0.169,61.661,11.738,2030.000
206,318.015,227.151,24.083,23.348,4.208,0.008,0.000,0.008,19.275,382.377,-64.363,183.992,119.630,0.431,0.330,0.188,0.163,0.118,0.000,0.000,0.000,0.118,0.003,0.099,0.631,0.003,0.000,0.000,0.003,0.003,0.004,0.278,0.002,0.019,0.181,66.212,29.428,2030.000
207,309.075,232.108,23.971,23.086,2.551,0.010,0.000,0.010,19.456,383.427,-74.352,188.008,113.656,0.409,0.261,0.186,0.155,0.120,0.000,0.000,0.000,0.120,0.004,0.101,0.570,0.004,0.000,0.002,0.002,0.004,0.009,0.219,0.003,0.019,0.240,87.508,49.566,2030.000
208,311.504,232.689,23.801,21.982,4.029,0.008,0.000,0.008,18.491,378.071,-66.567,188.478,121.911,0.439,0.328,0.183,0.166,0.103,0.000,0.000,0.000,0.103,0.003,0.084,0.468,0.003,0.000,0.001,0.002,0.003,0.006,0.166,0.002,0.019,0.187,68.348,36.882,2030.000
209,342.993,230.475,26.696,32.228,3.622,0.012,0.000,0.012,22.654,399.953,-56.960,186.685,129.725,0.467,0.309,0.209,0.183,0.145,0.000,0.000,0.000,0.145,0.011,0.116,0.692,0.009,0.002,0.005,0.002,0.011,0.025,0.207,0.008,0.029,0.280,102.221,56.970,2030.000
210,321.544,235.338,25.899,19.977,4.658,0.007,0.000,0.007,20.318,387.685,-66.140,190.624,124.483,0.448,0.376,0.205,0.174,0.109,0.000,0.000,0.000,0.109,0.002,0.088,0.454,0.002,0.000,0.000,0.001,0.002,0.003,0.108,0.001,0.022,0.172,62.659,30.323,2030.000
211,279.601,227.548,18.152,29.695,2.328,0.016,0.000,0.016,13.369,352.358,-72.756,184.314,111.557,0.402,0.203,0.136,0.139,0.188,0.000,0.001,0.000,0.188,0.010,0.159,1.058,0.013,0.001,0.005,0.008,0.010,0.022,0.787,0.012,0.029,0.374,136.613,73.950,2030.000
212,315.909,231.341,24.506,22.040,4.120,0.007,0.000,0.007,19.272,382.164,-66.254,187.386,121.132,0.436,0.337,0.190,0.166,0.118,0.000,0.000,0.000,0.118,0.003,0.095,0.499,0.003,0.000,0.001,0.002,0.003,0.005,0.181,0.001,0.023,0.172,62.641,27.397,2030.000
213,277.614,224.783,17.746,30.136,2.409,0.016,0.000,0.016,12.805,349.594,-71.981,182.074,110.094,0.396,0.202,0.133,0.136,0.219,0.000,0.000,0.000,0.219,0.018,0.158,1.648,0.022,0.002,0.009,0.011,0.018,0.041,1.047,0.022,0.061,0.388,141.494,75.905,2030.000
