catchment_id,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
181,299.101,299.223,22.323,23.447,3.697,0.018,0.000,0.018,11.933,345.356,-46.256,242.370,196.114,0.706,0.353,0.174,0.259,0.206,0.000,0.000,0.000,0.206,0.005,0.226,0.619,0.010,0.000,0.002,0.008,0.005,0.011,0.799,0.010,-0.021,0.435,158.770,72.524,2001.500
182,319.563,298.591,25.232,25.803,5.140,0.011,0.000,0.011,14.868,359.390,-39.827,241.859,202.031,0.727,0.419,0.198,0.279,0.229,0.000,0.000,0.000,0.229,0.010,0.234,0.690,0.013,0.002,0.005,0.006,0.011,0.025,0.603,0.012,-0.005,0.265,96.821,6.818,2001.500
183,321.751,299.603,25.531,26.456,5.504,0.011,0.000,0.011,15.233,361.184,-39.433,242.678,203.245,0.732,0.431,0.200,0.281,0.175,0.000,0.000,0.000,0.175,0.003,0.177,0.437,0.004,0.000,0.001,0.003,0.003,0.006,0.307,0.003,-0.002,0.259,94.353,28.343,2001.500
184,320.342,299.805,25.361,26.322,5.525,0.011,0.000,0.011,15.045,360.246,-39.904,242.842,202.939,0.731,0.430,0.199,0.280,0.204,0.000,0.000,0.000,0.204,0.005,0.208,0.531,0.006,0.000,0.002,0.004,0.005,0.010,0.390,0.005,-0.003,0.258,94.316,16.624,2001.500
185,310.260,301.134,23.912,24.619,4.640,0.012,0.000,0.012,13.507,352.654,-42.394,243.918,201.524,0.725,0.395,0.185,0.273,0.209,0.000,0.000,0.000,0.209,0.008,0.213,0.671,0.011,0.001,0.004,0.006,0.008,0.017,0.612,0.010,-0.005,0.291,106.351,24.734,2001.500
186,304.768,293.883,22.851,24.461,3.960,0.015,0.000,0.015,12.676,348.593,-43.824,238.045,194.221,0.699,0.361,0.175,0.259,0.311,0.000,0.000,0.000,0.311,0.015,0.319,0.973,0.021,0.004,0.006,0.011,0.013,0.029,1.126,0.021,-0.008,0.367,133.778,9.706,2001.500
187,306.381,294.313,23.240,24.367,4.017,0.015,0.000,0.015,12.967,350.002,-43.621,238.393,194.773,0.701,0.367,0.178,0.262,0.311,0.000,0.000,0.000,0.311,0.015,0.319,0.973,0.021,0.004,0.006,0.011,0.013,0.029,1.126,0.021,-0.008,0.365,133.305,9.233,2001.500
188,301.416,301.112,22.529,24.117,3.936,0.015,0.000,0.015,12.147,346.039,-44.623,243.901,199.277,0.717,0.362,0.172,0.265,0.173,0.000,0.000,0.000,0.173,0.005,0.173,0.453,0.006,0.001,0.002,0.004,0.005,0.011,0.355,0.006,-0.001,0.362,132.254,66.907,2001.500
189,303.335,301.610,22.884,23.932,3.858,0.015,0.000,0.015,12.494,347.720,-44.386,244.304,199.918,0.720,0.364,0.175,0.267,0.173,0.000,0.000,0.000,0.173,0.005,0.173,0.453,0.006,0.001,0.002,0.004,0.005,0.011,0.355,0.006,-0.001,0.350,127.570,62.223,2001.500
190,314.142,294.970,24.852,20.889,4.089,0.012,0.000,0.012,14.253,356.445,-42.304,238.926,196.622,0.708,0.394,0.196,0.270,0.206,0.000,0.000,0.000,0.206,0.004,0.227,0.609,0.008,0.000,0.002,0.006,0.004,0.009,0.619,0.007,-0.020,0.284,103.683,18.354,2001.500
191,312.210,297.963,24.753,21.366,4.013,0.013,0.000,0.013,14.111,355.751,-43.541,241.350,197.809,0.712,0.392,0.195,0.271,0.206,0.000,0.000,0.000,0.206,0.005,0.226,0.619,0.010,0.000,0.002,0.008,0.005,0.011,0.799,0.010,-0.021,0.313,114.097,27.851,2001.500
192,309.968,295.894,24.076,22.249,4.158,0.015,0.000,0.015,13.530,352.872,-42.903,239.674,196.771,0.708,0.389,0.188,0.267,0.270,0.000,0.000,0.000,0.270,0.011,0.288,0.821,0.016,0.001,0.005,0.011,0.011,0.024,1.053,0.016,-0.018,0.364,132.881,21.773,2001.500
193,302.751,294.245,22.158,25.319,4.015,0.025,0.000,0.025,12.069,345.799,-43.048,238.339,195.291,0.703,0.363,0.171,0.258,0.270,0.000,0.000,0.000,0.270,0.011,0.288,0.821,0.016,0.001,0.005,0.011,0.011,0.024,1.053,0.016,-0.018,0.606,221.178,110.070,2001.500
194,294.903,296.394,21.169,25.458,3.813,0.024,0.000,0.024,10.885,340.133,-45.230,240.079,194.849,0.701,0.345,0.163,0.254,0.206,0.000,0.000,0.000,0.206,0.005,0.226,0.619,0.010,0.000,0.002,0.008,0.005,0.011,0.799,0.010,-0.021,0.578,210.941,124.695,2001.500
195,286.147,296.731,19.382,27.350,3.245,0.029,0.000,0.029,9.428,333.063,-46.916,240.352,193.436,0.696,0.308,0.147,0.245,0.615,0.000,0.000,0.000,0.615,0.070,0.623,2.244,0.087,0.017,0.040,0.030,0.062,0.168,3.001,0.087,-0.008,0.706,257.794,-1.471,2001.500
196,278.943,291.934,17.325,30.481,3.628,0.037,0.001,0.036,7.757,325.384,-46.440,236.467,190.027,0.684,0.289,0.132,0.232,1.166,0.041,1.973,0.219,1.385,0.330,1.191,5.325,0.350,0.155,0.147,0.047,0.247,0.600,4.697,0.351,-0.025,0.882,321.869,-240.832,2001.500
197,281.378,298.261,18.815,27.190,3.400,0.028,0.000,0.028,8.748,329.849,-48.471,241.591,193.120,0.695,0.305,0.142,0.242,0.615,0.000,0.000,0.000,0.615,0.070,0.623,2.244,0.087,0.017,0.040,0.030,0.062,0.168,3.001,0.087,-0.008,0.675,246.196,-13.069,2001.500
198,277.767,297.122,17.868,28.159,3.539,0.030,0.000,0.029,7.964,326.218,-48.451,240.669,192.218,0.692,0.297,0.135,0.237,0.358,0.000,0.000,0.000,0.358,0.019,0.379,1.137,0.028,0.003,0.010,0.015,0.020,0.045,1.516,0.027,-0.020,0.712,259.744,111.537,2001.500
199,332.470,292.147,26.385,22.037,5.238,0.007,0.000,0.007,16.147,365.969,-33.499,236.639,203.140,0.731,0.450,0.213,0.284,0.116,0.000,0.000,0.000,0.116,0.002,0.123,0.317,0.003,0.000,0.000,0.002,0.002,0.003,0.243,0.002,-0.007,0.165,60.213,14.656,2001.500
200,331.423,292.213,26.458,22.364,4.970,0.006,0.000,0.006,16.036,365.408,-33.985,236.692,202.707,0.730,0.441,0.213,0.284,0.116,0.000,0.000,0.000,0.116,0.002,0.123,0.317,0.003,0.000,0.000,0.002,0.002,0.003,0.243,0.002,-0.007,0.139,50.642,5.086,2001.500
201,324.852,293.126,25.537,21.637,5.242,0.009,0.000,0.009,-inf,360.694,-35.843,237.432,201.589,0.726,0.442,0.204,0.279,0.213,0.000,0.000,0.000,0.213,0.005,0.227,0.603,0.008,0.000,0.001,0.006,0.005,0.009,0.642,0.007,-0.014,0.223,81.333,-4.033,2001.500
202,325.357,292.849,25.629,22.096,5.110,0.007,0.000,0.007,15.101,360.693,-35.336,237.208,201.872,0.727,0.436,0.205,0.280,0.152,0.000,0.000,0.000,0.152,0.003,0.166,0.433,0.005,0.000,0.001,0.004,0.003,0.005,0.414,0.004,-0.014,0.175,63.828,1.559,2001.500
203,331.761,292.121,26.373,22.176,5.129,0.006,0.000,0.006,16.064,365.550,-33.789,236.618,202.828,0.730,0.445,0.212,0.284,0.172,0.000,0.000,0.000,0.172,0.006,0.181,0.486,0.007,0.000,0.003,0.004,0.006,0.012,0.410,0.006,-0.009,0.154,56.199,-11.910,2001.500
204,326.120,292.507,25.766,22.209,5.058,0.007,0.000,0.007,15.214,361.256,-35.136,236.930,201.795,0.726,0.435,0.206,0.280,0.116,0.000,0.000,0.000,0.116,0.002,0.123,0.317,0.003,0.000,0.000,0.002,0.002,0.003,0.243,0.002,-0.007,0.162,58.964,13.407,2001.500
205,320.369,290.241,24.689,22.623,4.834,0.009,0.000,0.009,14.293,356.680,-36.311,235.095,198.785,0.716,0.414,0.195,0.272,0.376,0.003,0.006,0.003,0.379,0.020,0.388,1.255,0.024,0.001,0.010,0.013,0.020,0.046,1.291,0.023,-0.012,0.208,75.789,-74.262,2001.500
206,319.425,289.249,23.884,23.953,4.780,0.012,0.000,0.011,14.090,355.805,-36.380,234.292,197.912,0.712,0.400,0.188,0.268,0.330,0.002,0.004,0.002,0.332,0.015,0.340,1.073,0.018,0.001,0.008,0.009,0.015,0.035,0.903,0.017,-0.010,0.277,101.057,-29.270,2001.500
207,307.026,296.225,23.629,22.380,3.793,0.016,0.000,0.016,13.143,351.105,-44.079,239.942,195.863,0.705,0.371,0.185,0.264,0.206,0.000,0.000,0.000,0.206,0.005,0.226,0.619,0.010,0.000,0.002,0.008,0.005,0.011,0.799,0.010,-0.021,0.386,140.870,54.623,2001.500
208,314.060,294.067,23.873,22.096,4.905,0.012,0.000,0.012,13.380,352.117,-38.056,238.194,200.138,0.720,0.409,0.186,0.271,0.170,0.000,0.000,0.000,0.170,0.003,0.187,0.501,0.006,0.000,0.001,0.005,0.003,0.005,0.515,0.005,-0.016,0.279,101.796,31.707,2001.500
209,334.637,296.081,27.417,27.015,4.990,0.012,0.000,0.012,17.392,372.271,-37.635,239.826,202.191,0.728,0.440,0.220,0.287,0.243,0.000,0.000,0.000,0.243,0.010,0.247,0.729,0.013,0.002,0.005,0.007,0.011,0.024,0.675,0.013,-0.004,0.294,107.190,12.448,2001.500
210,323.152,294.771,26.024,20.139,5.264,0.007,0.000,0.007,15.247,361.413,-38.260,238.764,200.504,0.722,0.449,0.208,0.279,0.091,0.000,0.000,0.000,0.091,0.001,0.101,0.254,0.003,0.000,0.000,0.002,0.001,0.002,0.212,0.002,-0.009,0.175,63.832,26.464,2001.500
211,276.048,290.816,16.963,29.951,3.534,0.035,0.001,0.035,7.303,323.198,-47.150,235.561,188.411,0.678,0.283,0.129,0.229,0.630,0.125,8.570,0.612,1.242,0.303,1.024,4.813,0.300,0.128,0.143,0.029,0.217,0.581,2.881,0.300,-0.394,0.848,309.587,-173.695,2001.500
212,318.692,294.031,24.727,21.749,5.059,0.010,0.000,0.010,-inf,355.964,-37.272,238.165,200.893,0.723,0.426,0.195,0.275,0.213,0.000,0.000,0.000,0.213,0.005,0.227,0.603,0.008,0.000,0.001,0.006,0.005,0.009,0.642,0.007,-0.014,0.249,90.847,5.481,2001.500
213,273.544,289.540,16.584,30.126,3.620,0.035,0.001,0.034,6.896,321.356,-47.812,234.527,186.715,0.672,0.280,0.126,0.225,0.755,0.114,5.705,0.469,1.224,0.262,1.070,5.228,0.266,0.102,0.129,0.035,0.194,0.526,3.455,0.266,-0.315,0.839,306.186,-181.526,2001.500
